id,title,status,added,updated,short_description
TASK021,Content Management CRUD,Pending,2025-10-16,2025-10-16,"CRUD for shows, events, articles"
TASK022,Team Management,Pending,2025-10-16,2025-10-16,"CRUD for team members with photos and roles"
TASK023,Partners Management,Pending,2025-10-16,2025-10-16,"CRUD for partners with logos and display order"
TASK024,Press Management,Pending,2025-10-16,2025-10-16,"CRUD for press releases and press contacts"
TASK025,Communications Dashboard,Pending,2025-10-16,2025-10-16,"View newsletter subscribers and contact messages"
TASK026,Homepage Content Management,Pending,2025-10-16,2025-10-16,"Edit hero slides, about section, news highlights"
TASK027,Company Content Management,Pending,2025-10-16,2025-10-16,"Edit company values, stats, presentation sections"
TASK028,Content Versioning UI,Pending,2025-10-16,2025-10-16,"View history, compare versions, restore"
TASK029,Media Library,Pending,2025-10-16,2025-10-16,"Upload, organize, tag and manage media files"
TASK030,Display Toggles,Pending,2025-10-16,2025-10-16,"Feature flags for newsletter, partners, featured content"
TASK031,Analytics Dashboard,Pending,2025-10-16,2025-10-16,"Site statistics, popular pages, engagement"
TASK032,User Role Management,Pending,2025-10-16,2025-10-16,"Manage admin/editor roles and permissions"
TASK033,Audit Logs Viewer,Pending,2025-10-16,2025-10-16,"Browse and filter system activity logs"
TASK034,Performance Optimization,Pending,2025-10-16,2025-10-16,"Optimize queries, caching, and performance"
TASK035,Testing Suite,Pending,2025-10-16,2025-10-16,"Unit, integration and E2E tests for admin flows"
TASK036,Security Audit,Pending,2025-10-16,2025-10-16,"Review RLS policies, dependency scans, auth tests"
TASK037,Accessibility Compliance,Pending,2025-10-16,2025-10-16,"WCAG 2.1 AA validation and fixes"
TASK038,Responsive Testing,Pending,2025-10-16,2025-10-16,"Cross-device and cross-browser validation"
TASK039,Production Deployment,Pending,2025-10-16,2025-10-16,"CI/CD, env setup, monitoring, migrations"
TASK040,Documentation,Pending,2025-10-16,2025-10-16,"Admin guides, technical docs and runbooks"
